"purchases","country","name","genre_id","rowno"
"17","Argentina","Alternative & Punk","4","1"
"11","Argentina","Rock","1","2"
"2","Argentina","Latin","7","3"
"2","Argentina","R&B/Soul","14","4"
"2","Argentina","Blues","6","5"
"2","Argentina","Metal","3","6"
"1","Argentina","Alternative","23","7"
"1","Argentina","Easy Listening","12","8"
"1","Argentina","Heavy Metal","13","9"
"1","Argentina","Reggae","8","10"
"34","Australia","Rock","1","1"
"22","Australia","Alternative & Punk","4","2"
"14","Australia","Metal","3","3"
"2","Australia","Classical","24","4"
"2","Australia","Latin","7","5"
"2","Australia","Easy Listening","12","6"
"2","Australia","R&B/Soul","14","7"
"1","Australia","Alternative","23","8"
"1","Australia","Pop","9","9"
"1","Australia","Blues","6","10"
"1","Australia","Reggae","8","11"
"40","Austria","Rock","1","1"
"15","Austria","Jazz","2","2"
"7","Austria","Metal","3","3"
"3","Austria","Alternative & Punk","4","4"
"2","Austria","Alternative","23","5"
"1","Austria","R&B/Soul","14","6"
"1","Austria","Heavy Metal","13","7"
"1","Austria","Latin","7","8"
"26","Belgium","Rock","1","1"
"19","Belgium","Metal","3","2"
"7","Belgium","Alternative & Punk","4","3"
"2","Belgium","Latin","7","4"
"2","Belgium","Pop","9","5"
"1","Belgium","Alternative","23","6"
"1","Belgium","Classical","24","7"
"1","Belgium","R&B/Soul","14","8"
"1","Belgium","Electronica/Dance","15","9"
"1","Belgium","Jazz","2","10"
"205","Brazil","Rock","1","1"
"74","Brazil","Alternative & Punk","4","2"
"73","Brazil","Metal","3","3"
"20","Brazil","Jazz","2","4"
"14","Brazil","Electronica/Dance","15","5"
"13","Brazil","Latin","7","6"
"10","Brazil","R&B/Soul","14","7"
"7","Brazil","Classical","24","8"
"5","Brazil","Easy Listening","12","9"
"4","Brazil","Pop","9","10"
"3","Brazil","Blues","6","11"
"3","Brazil","Alternative","23","12"
"1","Brazil","Reggae","8","13"
"333","Canada","Rock","1","1"
"72","Canada","Metal","3","2"
"31","Canada","Alternative & Punk","4","3"
"29","Canada","R&B/Soul","14","4"
"22","Canada","Alternative","23","5"
"14","Canada","Blues","6","6"
"13","Canada","Latin","7","7"
"7","Canada","Jazz","2","8"
"5","Canada","Easy Listening","12","9"
"4","Canada","Reggae","8","10"
"3","Canada","Pop","9","11"
"3","Canada","Classical","24","12"
"2","Canada","Hip Hop/Rap","17","13"
"2","Canada","Electronica/Dance","15","14"
"1","Canada","Soundtrack","10","15"
"61","Chile","Rock","1","1"
"11","Chile","Metal","3","2"
"8","Chile","Alternative & Punk","4","3"
"4","Chile","R&B/Soul","14","4"
"4","Chile","Latin","7","5"
"3","Chile","Alternative","23","6"
"2","Chile","Jazz","2","7"
"2","Chile","Blues","6","8"
"1","Chile","Reggae","8","9"
"1","Chile","Classical","24","10"
"1","Chile","Easy Listening","12","11"
"143","Czech Republic","Rock","1","1"
"42","Czech Republic","Alternative & Punk","4","2"
"23","Czech Republic","Metal","3","3"
"21","Czech Republic","Latin","7","4"
"18","Czech Republic","Blues","6","5"
"10","Czech Republic","Alternative","23","6"
"5","Czech Republic","R&B/Soul","14","7"
"3","Czech Republic","Classical","24","8"
"3","Czech Republic","Easy Listening","12","9"
"3","Czech Republic","Jazz","2","10"
"2","Czech Republic","Pop","9","11"
"1","Czech Republic","Hip Hop/Rap","17","12"
"1","Czech Republic","Reggae","8","13"
"1","Czech Republic","Electronica/Dance","15","14"
"24","Denmark","Rock","1","1"
"5","Denmark","Metal","3","2"
"4","Denmark","Jazz","2","3"
"2","Denmark","Electronica/Dance","15","4"
"2","Denmark","Alternative & Punk","4","5"
"1","Denmark","Reggae","8","6"
"46","Finland","Rock","1","1"
"10","Finland","Metal","3","2"
"6","Finland","Alternative & Punk","4","3"
"3","Finland","Reggae","8","4"
"2","Finland","Classical","24","5"
"2","Finland","Jazz","2","6"
"2","Finland","Hip Hop/Rap","17","7"
