"invoice_total","billing_city"
"273.24000000000007","Prague"
"169.29","Mountain View"
"166.32","London"
"158.4","Berlin"
"151.47","Paris"
"129.69","São Paulo"
"114.83999999999997","Dublin"
"111.86999999999999","Delhi"
"108.89999999999998","São José dos Campos"
"106.91999999999999","Brasília"
"102.96000000000001","Lisbon"
"99.99","Bordeaux"
"99.99","Montréal"
"98.01","Madrid"
"98.01","Redmond"
"97.02000000000001","Santiago"
"94.05000000000001","Frankfurt"
"92.07000000000001","Orlando"
"91.08000000000001","Reno"
"91.08","Ottawa"
"86.13000000000002","Fort Worth"
"84.14999999999999","Tucson"
"82.17","Stuttgart"
"82.17","Rio de Janeiro"
"82.17","Porto"
"81.18","Sidney"
"79.2","New York"
"79.2","Edinburgh "
"79.2","Helsinki"
"78.21","Budapest"
"76.23","Madison"
"76.22999999999999","Warsaw"
"75.24000000000001","Yellowknife"
"75.24","Stockholm"
"73.25999999999999","Dijon"
"72.27000000000001","Oslo"
"72.27","Salt Lake City"
"71.28","Chicago"
"71.28","Bangalore"
"70.28999999999999","Winnipeg"
"69.3","Vienne"
"66.33","Vancouver"
"66.33","Boston"
"65.34","Amsterdam"
"64.35","Lyon"
"62.370000000000005","Halifax"
"60.38999999999999","Brussels"
"54.449999999999996","Cupertino"
"50.49","Rome"
"40.59","Toronto"
"39.6","Buenos Aires"
"37.61999999999999","Copenhagen"
"29.699999999999996","Edmonton"
